stop1_id,stop2_id
118,90
118,102
90,214
237,214
214,199
214,55
55,107
107,102
241,148
148,50
50,102
102,152
102,132
102,89
102,125
102,27
102,184
102,119
102,180
199,56
56,130
130,11
11,2
2,25
25,42
42,120
120,72
72,131
131,162
162,171
89,175
175,24
175,23
23,63
63,195
195,149
149,68
68,36
36,84
152,127
127,132
132,39
132,52
132,92
52,1
1,182
182,77
77,71
71,185
185,76
76,67
67,123
123,154
39,213
213,92
92,205
92,20
92,27
205,40
40,91
91,78
78,153
153,111
111,202
202,193
193,14
14,164
20,59
59,165
165,220
220,44
44,29
29,33
33,179
179,129
129,223
223,176
176,126
126,190
190,73
184,219
119,122
122,180
180,211
211,66
211,125
219,142
142,124
124,85
85,216
66,94
94,217
217,32
32,114
114,101
101,65
125,183
125,31
31,51
51,155
155,99
99,113
183,225
225,64
64,226
226,16
16,215
215,187
187,136
136,135
135,8
8,38
38,117
117,27
27,26
26,100
100,74
74,157
157,204
204,163
163,21
21,140
140,198
198,233
233,83
83,191
191,13
13,48
48,4
4,141
